id,worth in Billion USD,age,gender,Country,image,name,industry,company_name,GDP in Billions USD
3369,2.2,,Female,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7fd156a7ea4316901331b3/416x416.jpg?background=000000&cropX1=4&cropX2=1489&cropY1=37&cropY2=1522,Chan Tan Ching-Fen,Real Estate , real estate,362.99300000000005
6334,2.2,81.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/57768767a7ea436bd18c0d1e/416x416.jpg?background=000000&cropX1=116&cropX2=696&cropY1=3&cropY2=583,Tung Chee Hwa,Logistics , shipping,362.99300000000005
7783,2.1,84.0,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/10c5ecbe5c4b5ce4febd3e3afc9a5196/416x416.jpg?background=000000&cropX1=0&cropX2=372&cropY1=46&cropY2=418,Tang Shing-Bor,Real Estate , real estate,362.99300000000005
7382,2.0,56.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/601330d5e69781741753b1f2f5975025/416x416.jpg?background=000000&cropX1=52&cropX2=333&cropY1=13&cropY2=294,Huang Yi,Automotive , auto distribution,362.99300000000005
2583,1.5,95.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/2c9342e6b6c03eec93a23ec68d9abad9/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=47&cropY2=791,Tang Hsiang-Chien,Manufacturing ," textiles, electronics",362.99300000000005
5982,1.4,69.0,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/589f7049a7ea431f32194c0a/416x416.jpg?background=000000&cropX1=108&cropX2=630&cropY1=309&cropY2=831,William Fung,Fashion & Retail , sourcing,362.99300000000005
4233,1.2,71.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a5e2cfe4bbe6f2652f2a738/416x416.jpg?background=000000&cropX1=268&cropX2=2048&cropY1=492&cropY2=2274,Lo Ka Shui,Real Estate , real estate,362.99300000000005
4262,1.1,60.0,Female,Hong Kong,https://specials-images.forbesimg.com/imageserve/590cb1d24bbe6f09a17a72d2/416x416.jpg?background=000000&cropX1=1189&cropX2=3189&cropY1=140&cropY2=2140,Cui Lijie,Gambling & Casinos , gambling,362.99300000000005
3503,1.1,50.0,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/56ec6894e4b0c144a7f79796/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=0&cropY2=743,Neil Shen,Finance and Investments , venture capital,362.99300000000005
6716,19.1,62.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80c93d31358e4955ad2cb5/416x416.jpg?background=000000&cropX1=9&cropX2=1871&cropY1=148&cropY2=2012,Vladimir Lisin,Metals & Mining ," steel, transport",1657.5539999999999
3249,18.0,62.0,None,Russia,https://specials-images.forbesimg.com/imageserve/5a80ab314bbe6f2652f53efa/416x416.jpg?background=000000&cropX1=654&cropX2=3172&cropY1=5&cropY2=2522,Leonid Mikhelson,Energy ," gas, chemicals",1657.5539999999999
8479,15.1,54.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80ac47a7ea431690133b64/416x416.jpg?background=000000&cropX1=534&cropX2=3793&cropY1=7&cropY2=3263,Mikhail Fridman,Energy ," oil, banking, telecom",1657.5539999999999
9076,9.3,69.0,None,Russia,https://specials-images.forbesimg.com/imageserve/5a80c83e31358e4955ad2c99/416x416.jpg?background=000000&cropX1=392&cropX2=2225&cropY1=0&cropY2=1832,Viktor Rashnikov,Manufacturing , steel,1657.5539999999999
8524,7.3,54.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80a97531358e4955ad2b5b/416x416.jpg?background=000000&cropX1=0&cropX2=1045&cropY1=158&cropY2=1204,Iskander Makhmudov,Metals & Mining ," mining, metals, machinery",1657.5539999999999
1310,6.9,62.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80aab8a7ea431690133b4d/416x416.jpg?background=000000&cropX1=1035&cropX2=4139&cropY1=13&cropY2=3115,Leonid Fedun,Energy , oil,1657.5539999999999
9494,6.7,50.0,None,Russia,https://specials-images.forbesimg.com/imageserve/5a80ae8d4bbe6f2652f53f6a/416x416.jpg?background=000000&cropX1=1051&cropX2=3154&cropY1=565&cropY2=2667,Oleg Deripaska,Metals & Mining ," aluminum, utilities",1657.5539999999999
3574,4.8,60.0,None,Russia,https://specials-images.forbesimg.com/imageserve/5a80ad5c4bbe6f2652f53f26/416x416.jpg?background=000000&cropX1=709&cropX2=3372&cropY1=6&cropY2=2667,Mikhail Gutseriev,Energy ," oil, real estate",1657.5539999999999
1985,4.5,58.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/8f717dbb5da19b397ed4670d344be3dc/416x416.jpg?background=000000&cropX1=19&cropX2=744&cropY1=6&cropY2=731,Andrei Guriev,Manufacturing , fertilizers,1657.5539999999999
5049,4.5,46.0,None,Russia,https://specials-images.forbesimg.com/imageserve/58a398fda7ea431f32198651/416x416.jpg?background=000000&cropX1=0&cropX2=639&cropY1=2&cropY2=642,Sergei Popov,Finance and Investments , banking,1657.5539999999999
7964,3.7,52.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80b4c84bbe6f2652f53fed/416x416.jpg?background=000000&cropX1=10&cropX2=2336&cropY1=15&cropY2=2343,Samvel Karapetyan,Construction & Engineering , real estate,1657.5539999999999
7584,3.7,56.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80ca9f31358e4955ad2cd9/416x416.jpg?background=000000&cropX1=0&cropX2=2194&cropY1=14&cropY2=2210,Yuri Milner,Finance and Investments , tech investments,1657.5539999999999
2089,3.3,46.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/56cbe5dbe4b062f6b59a4bff/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=2&cropY2=745,God Nisanov,Real Estate , real estate,1657.5539999999999
7359,3.0,66.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a809e524bbe6f2652f53e02/416x416.jpg?background=000000&cropX1=1903&cropX2=5177&cropY1=90&cropY2=3365,Arkady Rotenberg,Construction & Engineering ," construction, pipes, banking",1657.5539999999999
3485,2.2,50.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80aef631358e4955ad2ba1/416x416.jpg?background=000000&cropX1=611&cropX2=3329&cropY1=18&cropY2=2734,Oleg Tinkov,Finance and Investments , banking,1657.5539999999999
1358,2.1,38.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a8090244bbe6f2652f53d39/416x416.jpg?background=000000&cropX1=737&cropX2=3371&cropY1=34&cropY2=2667,Alexey Repik,Healthcare , pharmaceuticals,1657.5539999999999
6411,1.8,67.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80c8dfa7ea431690133d0c/416x416.jpg?background=000000&cropX1=165&cropX2=1677&cropY1=423&cropY2=1936,Vladimir Bogdanov,Energy , oil,1657.5539999999999
